productname,categorie,price,description,image url
Jute Curtain,Furniture - Curtain,??649,Jute,https://i.etsystatic.com/7191941/r/il/2dad5a/4476639731/il_1588xN.4476639731_mpji.jpg
Satin Curtain,Furniture - Curtain,??799,Satin,https://i.etsystatic.com/27375696/r/il/af6526/6202035365/il_1588xN.6202035365_cccp.jpg
PVC Curtain,Furniture - Curtain,??350,PVC,https://i.etsystatic.com/27375696/r/il/ae77c8/5729355423/il_1588xN.5729355423_dxwo.jpg
Bamboo Curtain,Furniture - Curtain,??700,Bamboo,https://i.etsystatic.com/27375696/r/il/ae77c8/5729355423/il_1588xN.5729355423_dxwo.jpg
Plastic Ball Pen,Stationaries - Pen,??10,Plastic and Ink,https://i.etsystatic.com/20098313/r/il/08f5e4/6698418517/il_1588xN.6698418517_9u6r.jpg
Metal Fountain Pen,Stationaries - Pen,??150,Metal and Ink,https://i.etsystatic.com/19687577/r/il/47d325/2949022524/il_1588xN.2949022524_k1pg.jpg
Recycled Paper Pen,Stationaries - Pen,??15,Paper and Ink,https://i.etsystatic.com/19887624/r/il/d487e6/3505047857/il_1588xN.3505047857_nh93.jpg
Wooden Pen,Stationaries - Pen,??25,Wood and Ink,https://i.etsystatic.com/25947065/r/il/70b9ad/5968477314/il_1588xN.5968477314_3pqb.jpg
Aluminum Gel Pen,Stationaries - Pen,??90,Aluminum and Ink,https://i.etsystatic.com/28815764/r/il/9b0e9f/5348329087/il_1588xN.5348329087_op68.jpg
Bio-degradable Pen,Stationaries - Pen,??20,Cornstarch and Ink,https://i.etsystatic.com/21078302/r/il/fa8067/6619753735/il_1588xN.6619753735_tmdh.jpg
Bamboo Pen,Stationaries - Pen,??30,Bamboo and Ink,https://i.etsystatic.com/34095957/r/il/6c93e4/5214610153/il_1588xN.5214610153_gzw0.jpg
Polycarbonate Pen,Stationaries - Pen,??40,Polycarbonate and Ink,https://i.etsystatic.com/15175548/r/il/39f642/6822690003/il_1588xN.6822690003_mgcn.jpg
Silicone Grip Pen,Stationaries - Pen,??50,Silicone and Plastic,https://i.etsystatic.com/54479148/r/il/7a50c4/6646359724/il_1588xN.6646359724_5mms.jpg
Glass Dip Pen,Stationaries - Pen,??120,Glass,https://i.etsystatic.com/8837297/r/il/d031c8/5707674770/il_1588xN.5707674770_cjnx.jpg
Recycled Paper Notebook,Stationaries - Book,??60,Recycled Paper,https://i.etsystatic.com/18569529/r/il/2a57b3/3968078865/il_1588xN.3968078865_b7mp.jpg
Leather Journal,Stationaries - Book,??250,Leather and Paper,https://i.etsystatic.com/29373260/r/il/015689/6163635547/il_1588xN.6163635547_4mav.jpg
Cotton Bound Book,Stationaries - Book,??120,Cotton and Paper,https://i.etsystatic.com/18569529/r/il/95e8f4/3611548068/il_1588xN.3611548068_5pu6.jpg
Hardcover Book,Stationaries - Book,??150,Cardboard and Paper,https://i.etsystatic.com/26215188/r/il/5bc594/5680386402/il_1588xN.5680386402_3ia3.jpg
Spiral Notebook,Stationaries - Book,??70,Metal and Paper,https://i.etsystatic.com/36638446/r/il/d595f2/6426946917/il_1588xN.6426946917_fyrd.jpg
Handmade Diary,Stationaries - Book,??180,Handmade Paper,https://i.etsystatic.com/34546197/r/il/9b9d17/4040247440/il_1588xN.4040247440_2w1m.jpg
Plastic Cover Notebook,Stationaries - Book,??40,Plastic and Paper,https://i.etsystatic.com/20836566/r/il/16d7f1/3514620377/il_1588xN.3514620377_e4m7.jpg
Canvas Cover Book,Stationaries - Book,??160,Canvas and Paper,https://i.etsystatic.com/29373260/r/il/5e37a2/5405138805/il_1588xN.5405138805_en0o.jpg
Eco-friendly Planner,Stationaries - Book,??200,Recycled Paper,https://i.etsystatic.com/35966576/r/il/722774/5177238867/il_1588xN.5177238867_qqr1.jpg
Foam Bound Book,Stationaries - Book,??90,Foam and Paper,https://i.etsystatic.com/19215587/r/il/f03366/5526961170/il_1588xN.5526961170_qlni.jpg
Compost,Fertilizers - Fertilizer,??120,Organic Waste,https://i.etsystatic.com/19887624/r/il/6ce124/6466635600/il_1588xN.6466635600_bwxf.jpg
NPK Fertilizer,Fertilizers - Fertilizer,??200,"Nitrogen, Phosphorus, Potassium",https://i.etsystatic.com/52173662/r/il/1aef5f/6475832664/il_1588xN.6475832664_55fg.jpg
Bone Meal,Fertilizers - Fertilizer,??150,Crushed Bones,https://i.etsystatic.com/27389239/r/il/2d12b1/6551974377/il_1588xN.6551974377_rb2v.jpg
Vermicompost,Fertilizers - Fertilizer,??180,Earthworm Waste,https://i.etsystatic.com/34185383/r/il/1b1d9f/4828836220/il_1588xN.4828836220_dg42.jpg
Urea,Fertilizers - Fertilizer,??250,Carbamide,https://i.etsystatic.com/15259944/r/il/ffffab/3751587226/il_1588xN.3751587226_47y3.jpg
Seaweed Extract,Fertilizers - Fertilizer,??220,Seaweed,https://i.etsystatic.com/18187013/r/il/2c77d2/6483429306/il_1588xN.6483429306_6t7f.jpg
Cow Dung Cake,Fertilizers - Fertilizer,??100,Cow Manure,https://i.etsystatic.com/10705939/r/il/ce9218/6120774612/il_794xN.6120774612_95i4.jpg
Micronutrient Mix,Fertilizers - Fertilizer,??300,"Zinc, Iron, Copper",https://i.etsystatic.com/53412221/r/il/87d804/6111035646/il_1588xN.6111035646_qzxy.jpg
Neem Cake,Fertilizers - Fertilizer,??160,Neem Seeds,https://i.etsystatic.com/52006354/r/il/2c10d1/6098776100/il_1588xN.6098776100_7zq3.jpg
Ammonium Sulfate,Fertilizers - Fertilizer,??280,Inorganic Salts,https://i.etsystatic.com/23440852/r/il/ca2e72/5408960667/il_1588xN.5408960667_ghkq.jpg
Potash,Fertilizers - Fertilizer,??240,Potassium Salts,https://i.etsystatic.com/35618956/r/il/51f251/3919974359/il_1588xN.3919974359_ajsr.jpg
DAP,Fertilizers - Fertilizer,??320,Diammonium Phosphate,https://i.etsystatic.com/23803544/r/il/9fbb5f/4853406296/il_1588xN.4853406296_bp41.jpg
Humic Acid,Fertilizers - Fertilizer,??260,Humus,https://i.etsystatic.com/53412221/r/il/842a8e/6158982471/il_1588xN.6158982471_9olf.jpg
Liquid Fertilizer,Fertilizers - Fertilizer,??200,Liquid Organics,https://i.etsystatic.com/34185102/r/il/4cfc45/3950195129/il_1588xN.3950195129_483d.jpg
Sulfur Fertilizer,Fertilizers - Fertilizer,??230,Sulfur Granules,https://i.etsystatic.com/11467135/r/il/ac0c47/1445165240/il_1588xN.1445165240_odzj.jpg
Green Manure,Fertilizers - Fertilizer,??180,Cover Crops,https://i.etsystatic.com/37852554/r/il/864e85/4301195578/il_1588xN.4301195578_sm3z.jpg
Rock Phosphate,Fertilizers - Fertilizer,??190,Natural Minerals,https://i.etsystatic.com/50860002/r/il/a242be/6264495041/il_1588xN.6264495041_2tpc.jpg
Poultry Litter,Fertilizers - Fertilizer,??160,Chicken Manure,https://i.etsystatic.com/24759185/r/il/b7a31d/6278545396/il_1588xN.6278545396_osem.jpg
Chemical Fertilizer,Fertilizers - Fertilizer,??270,Synthetic Compounds,https://i.etsystatic.com/29440454/r/il/4bcdfc/5579338600/il_1588xN.5579338600_6tya.jpg
Organic Tea Compost,Fertilizers - Fertilizer,??210,Herbal Residue,https://i.etsystatic.com/22935208/r/il/b4d3e8/3695149365/il_1588xN.3695149365_p4yq.jpg
Paper Glass,Party supplies - Glass,??5,Recycled Paper,https://i.etsystatic.com/50035063/r/il/184723/5787285617/il_1588xN.5787285617_dlwd.jpg
Plastic Glass,Party supplies - Glass,??8,Polystyrene,https://i.etsystatic.com/46013764/r/il/c70164/5407353547/il_1588xN.5407353547_b84n.jpg
Steel Glass,Party supplies - Glass,??120,Stainless Steel,https://i.etsystatic.com/42566487/r/il/b3252f/6063128330/il_1588xN.6063128330_6hxc.jpg
Glass Tumbler,Party supplies - Glass,??100,Glass,https://i.etsystatic.com/52817376/r/il/e1aebf/6110186541/il_1588xN.6110186541_ard3.jpg
Clay Cup,Party supplies - Glass,??25,Clay,https://i.etsystatic.com/38653484/r/il/455a0c/5625472973/il_1588xN.5625472973_mybi.jpg
Bamboo Cup,Party supplies - Glass,??40,Bamboo,https://i.etsystatic.com/36230251/r/il/14c151/4420239600/il_1588xN.4420239600_rjwc.jpg
Melamine Glass,Party supplies - Glass,??60,Melamine,https://i.etsystatic.com/10956383/r/il/ee88b6/5051546785/il_1588xN.5051546785_8fu7.jpg
Aluminum Glass,Party supplies - Glass,??50,Aluminum,https://i.etsystatic.com/42566487/r/il/b3252f/6063128330/il_1588xN.6063128330_6hxc.jpg
Coconut Shell Cup,Party supplies - Glass,??35,Coconut Shell,https://i.etsystatic.com/43347034/r/il/bb593e/6612593034/il_1588xN.6612593034_ig0x.jpg
Bioplastic Cup,Party supplies - Glass,??20,PLA Bioplastic,https://i.etsystatic.com/24493699/r/il/e7011e/3776397157/il_1588xN.3776397157_pljo.jpg
Paper Plate,Party supplies - Dish,??4,Recycled Paper,https://i.etsystatic.com/17720463/r/il/98f60a/5441209005/il_1588xN.5441209005_5895.jpg
Plastic Plate,Party supplies - Dish,??10,Polypropylene,https://i.etsystatic.com/20527854/r/il/a8dcdc/4999800095/il_1588xN.4999800095_f95u.jpg
Areca Leaf Plate,Party supplies - Dish,??12,Areca Leaf,https://i.etsystatic.com/54482271/r/il/4960df/6795227135/il_1588xN.6795227135_8hf9.jpg
Foam Plate,Party supplies - Dish,??6,Thermocol,https://cdn.dotpe.in/longtail/store-items/4922352/MYaTENVG.jpeg
Palm Leaf Dish,Party supplies - Dish,??15,Palm Leaf,"https://www.jiomart.com/images/product/original/rvyzyaijxm/crazy-sutra-eco-friendly-disposable-round-areca-palm-leaf-plates-10-inch-diameter-pack-of-20pc-product-images-orvyzyaijxm-p591085020-0-202202250455.jpg?im=Resize=(420,420)"
Steel Dish,Party supplies - Dish,??150,Stainless Steel,https://i.etsystatic.com/27857577/r/il/4bea1a/6687749284/il_1588xN.6687749284_2g7b.jpg
Ceramic Dish,Party supplies - Dish,??180,Ceramic,https://i.etsystatic.com/5477623/r/il/53cefe/2949193816/il_1588xN.2949193816_q6cy.jpg
Glass Plate,Party supplies - Dish,??140,Glass,https://i.etsystatic.com/30914608/r/il/62ab68/6776951935/il_340x270.6776951935_amdy.jpg
Bagasse Dish,Party supplies - Dish,??10,Sugarcane Bagasse,https://i.etsystatic.com/25755992/r/il/523cd9/5867369535/il_1588xN.5867369535_jzby.jpg
Cornstarch Plate,Party supplies - Dish,??20,Cornstarch,https://i.etsystatic.com/27410646/r/il/bc0d3c/6718469807/il_1588xN.6718469807_i39c.jpg
Cardboard Box,Packaging - Box,??25,Corrugated Cardboard,https://i.etsystatic.com/21879200/r/il/4441f9/4098426782/il_1588xN.4098426782_d4m9.jpg
Plastic Box,Packaging - Box,??40,Polypropylene,https://i.etsystatic.com/5975859/r/il/75ed9e/2735800411/il_1588xN.2735800411_s6n1.jpg
Metal Tin Box,Packaging - Box,??50,Tinplate,https://i.etsystatic.com/7919988/r/il/665e08/3393580773/il_1588xN.3393580773_lifp.jpg
Wooden Box,Packaging - Box,??120,Wood,https://i.etsystatic.com/10813744/r/il/c1641b/4733203276/il_1588xN.4733203276_regm.jpg
Biodegradable Box,Packaging - Box,??30,Cornstarch,https://i.etsystatic.com/55098683/r/il/9a5963/6572563637/il_1588xN.6572563637_7pmm.jpg
Thermocol Box,Packaging - Box,??35,Styrofoam,https://www.meesho.com/thermocol-ice-boxpack-of-10/p/25yl4q
Jute Box,Packaging - Box,??60,Jute,https://images.meesho.com/images/products/475156170/jnx1i_1200.jpg
PVC Box,Packaging - Box,??45,PVC,https://images.meesho.com/images/products/308831878/lsuuz_1200.jpg
Aluminum Box,Packaging - Box,??55,Aluminum,https://images.meesho.com/images/products/71395873/t9z5c_1200.jpg
Glass Jar,Packaging - Box,??65,Glass,https://bizpressions.in/cdn/shop/products/200-ml-salsa-glass-jar-521.jpg?v=1641633076&width=200
Plastic Bag,Packaging - Bag,??5,Polyethylene,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSx5hpsvDfB0qPio-EKV5YSiCfJ5OQlsgk2jp2PLylniNulDc8GYzrupWbjEd83Be4343C8ZdPihP-AH7r_ZVvh_KhZJBvtEiaj-0P7gRs
Paper Bag,Packaging - Bag,??6,Brown Paper,https://i.etsystatic.com/15006279/r/il/3275c6/5959301464/il_1588xN.5959301464_my87.jpg
Jute Bag,Packaging - Bag,??70,Jute Fiber,https://i.etsystatic.com/32043235/r/il/bed97f/3420031220/il_1588xN.3420031220_hkhs.jpg
Cotton Bag,Packaging - Bag,??60,Cotton,https://i.etsystatic.com/41048899/r/il/960c68/4706579030/il_1588xN.4706579030_a6ua.jpg
Biodegradable Bag,Packaging - Bag,??15,PLA Bioplastic,https://brownliving.in/cdn/shop/files/sustainable-biodegradable-and-compostable-u-cut-carry-bags-multi-purpose-bags-by-ecobharat-at-brownliving-723264.png?v=1734397476
Mesh Bag,Packaging - Bag,??30,Polyester Mesh,"https://m.media-amazon.com/images/I/81JPCQStR+S._AC_UF1000,1000_QL80_.jpg"
Canvas Bag,Packaging - Bag,??80,Canvas,https://m.media-amazon.com/images/I/61VMKB7lYKL._SX679_.jpg
Hemp Bag,Packaging - Bag,??85,Hemp,https://buddhaland.in/cdn/shop/files/133.jpg?v=1738060787
Foil Bag,Packaging - Bag,??10,Foil and Plastic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFw6EjiedZyYchXPQkQwl6zv1Xfnok3xTwVg&s
Recycled PET Bag,Packaging - Bag,??12,PET Plastic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKUwxBwnkiAX51KfgDiaTyz2nkztnngwQx6A&s
Wooden Blocks,Toys - Toy,??400,Teak Wood,https://m.media-amazon.com/images/I/71kZcMQwPaL.jpg
Plastic Car,Toys - Toy,??150,Polypropylene,https://media.istockphoto.com/id/1024366752/photo/red-toy-car-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=NFbwOnrPYjMyc_AKq4LQg89q7G6vF1ugmvUYnZjOXiU=
Rubber Duck,Toys - Toy,??80,Rubber,https://canarddebain.com/cdn/shop/files/CanardXLJaune01.jpg?v=1743410743&width=1100
Plush Teddy,Toys - Toy,??300,Polyester and Cotton,https://m.media-amazon.com/images/I/51pFVRjnloL._SX300_SY300_QL70_FMwebp_.jpg
Puzzle Board,Toys - Toy,??180,MDF and Paper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdFC9OrTyXoV1hvs-eKat-3fMm6V5gOYrd8Q&s
Lego Set,Toys - Toy,??900,ABS Plastic,https://images-cdn.ubuy.co.in/65326748fc1b0e3fe6188f02-lego-the-first-adventure-21169-building.jpg
Bamboo Train,Toys - Toy,??450,Bamboo,https://baby-direct.com.au/cdn/shop/products/617_7.jpg?v=1637634913
Slime,Toys - Toy,??100,Glue and Borax,"https://m.media-amazon.com/images/I/81obKOo3frL._AC_UF1000,1000_QL80_.jpg"
Solar Robot Kit,Toys - Toy,??1200,Plastic and Solar Panel,https://m.media-amazon.com/images/I/51IuRtRnnjL._SX522_.jpg
Clay Set,Toys - Toy,??90,Natural Clay,https://m.media-amazon.com/images/I/51DdDi3cZFL._SX300_SY300_QL70_FMwebp_.jpg
Foam Ball,Toys - Toy,??60,PU Foam,https://m.media-amazon.com/images/I/31gip1UuZBL._SY300_SX300_QL70_FMwebp_.jpg
Cardboard Maze,Toys - Toy,??70,Cardboard,https://i.pinimg.com/736x/4a/00/4a/4a004ad62aa90ca24509f168ff49a69a.jpg
Silicone Toy,Toys - Toy,??130,Silicone,https://cdn.fcglcdn.com/brainbees/images/products/583x720/14190884a.webp
Stuffed Animal,Toys - Toy,??350,Fleece and Cotton,https://puntoonkids.com/cdn/shop/files/1_d2b93560-df64-4061-a829-0321df708bfd.png?v=1721891013&width=713
Fiber Doll,Toys - Toy,??250,Plastic Fiber,https://images.squarespace-cdn.com/content/v1/50e0e7cee4b015296ce1e08f/dcfcaa9b-c6a0-42ff-92fe-1ed8461e05b7/natural-fiber-art-doll-heidi-figandme.jpg
Musical Rattle,Toys - Toy,??160,Plastic and Metal,https://cdn.fcglcdn.com/brainbees/images/products/583x720/12287442a.webp
Recycled Plastic Toy,Toys - Toy,??140,Recycled Plastic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTrRLw-qzi3s1zuFhe1RWKUSUXBMUX69NpNw&s
Eco Blocks,Toys - Toy,??370,Compressed Sawdust,https://upload.wikimedia.org/wikipedia/commons/e/e4/Ecology_Block-2.jpg
Tin Toy,Toys - Toy,??180,Tinplate,https://images.squarespace-cdn.com/content/v1/60241cb68df65b530cd84d95/ff1a1685-8abe-4e58-8d22-2644a6e63b8e/trailer.jpg
Bioplastic Car,Toys - Toy,??300,PLA Bioplastic,https://i0.wp.com/bioplasticsnews.com/wp-content/uploads/2018/07/car-made-of-bioplastics.jpg?resize=677%2C454&ssl=1
Wooden Comb,Utilities - Comb,??60,Neem Wood,https://brownliving.in/cdn/shop/articles/7-benefits-of-using-wooden-hair-combs-318053.jpg?v=1724217181&width=500
Plastic Comb,Utilities - Comb,??20,Polypropylene,https://5.imimg.com/data5/ZA/FT/HL/SELLER-47976024/plastic-haircomb.jpg
Steel Comb,Utilities - Comb,??40,Stainless Steel,https://m.media-amazon.com/images/I/61c586-QR9L._SL1500_.jpg
Horn Comb,Utilities - Comb,??150,Animal Horn,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXSdZvOjByUh7bIwsZYU03612YjR-Uej1REg&s
Aluminum Comb,Utilities - Comb,??35,Aluminum,"https://m.media-amazon.com/images/I/41rF7lrRUPL._AC_UF1000,1000_QL80_.jpg"
Silicone Comb,Utilities - Comb,??45,Silicone,https://m.media-amazon.com/images/I/31PCS5zw7wL._SY300_SX300_QL70_FMwebp_.jpg
Bamboo Comb,Utilities - Comb,??55,Bamboo,https://m.media-amazon.com/images/I/51vontNDzeL._SX300_SY300_QL70_FMwebp_.jpg
Carbon Fiber Comb,Utilities - Comb,??100,Carbon Fiber,https://images-cdn.ubuy.co.in/633b008fb01de146463dbe25-ubuy-online-shopping.jpg
Ivory Comb,Utilities - Comb,??200,Ivory,https://i.pinimg.com/564x/46/4f/47/464f470363d7a7cab3a757c18ce82974.jpg
PLA Comb,Utilities - Comb,??50,Bioplastic,https://rukminim2.flixcart.com/image/850/1000/xif0q/hair-comb/x/9/d/3d-printed-large-wide-tooth-comb-and-most-hair-types-black-pla-original-imagz9uhzppaqhny.jpeg?q=90&crop=false
Plastic Toothbrush,Utilities - Tooth_Brush,??20,Polypropylene,"https://m.media-amazon.com/images/I/614jZkgfhOL._AC_UF1000,1000_QL80_DpWeblab_.jpg"
Bamboo Toothbrush,Utilities - Tooth_Brush,??35,Bamboo,https://m.media-amazon.com/images/I/71edeKpYPpL.jpg
Electric Toothbrush,Utilities - Tooth_Brush,??1200,Plastic and Electronics,https://saltoralcare.com/cdn/shop/files/wg.jpg?v=1722656672&width=1000
Biodegradable Toothbrush,Utilities - Tooth_Brush,??50,Cornstarch,https://m.media-amazon.com/images/I/71edeKpYPpL.jpg
Charcoal Toothbrush,Utilities - Tooth_Brush,??60,Plastic and Charcoal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRraAbHvhs2q5i7crdzInoX9vmda_0_Ed-wcw&s
Aluminum Handle Toothbrush,Utilities - Tooth_Brush,??75,Aluminum,https://indian-retailer.s3.ap-south-1.amazonaws.com/s3fs-public/2023-07/2.jpg
Wooden Toothbrush,Utilities - Tooth_Brush,??40,Wood and Nylon,https://rukminim2.flixcart.com/image/850/1000/l0cr4i80/toothbrush/u/1/m/bamboo-natural-wooden-eco-friendly-toothbrush-with-soft-medium-original-imagc5tdxguddkyr.jpeg?q=20&crop=false
Silicone Brush,Utilities - Tooth_Brush,??90,Silicone,https://www.bakeshake.co.in/image/cache/catalog/products/silicone%20brush%203002%201-750x750.jpg
Recycled Plastic Toothbrush,Utilities - Tooth_Brush,??25,Recycled PET,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNmR-dzbF6ReIMJRqz3LeYzslltPuannDLgQ&s
Paper Handle Toothbrush,Utilities - Tooth_Brush,??30,Paper and Nylon,"https://m.media-amazon.com/images/I/61ntBAR24vL._AC_UF1000,1000_QL80_.jpg"
Plastic Spoon,Kitchen - Spoon,??5,Polystyrene,https://m.media-amazon.com/images/I/41CI5dS+JRL.jpg
Wooden Spoon,Kitchen - Spoon,??20,Teak Wood,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdzOibcuPivKZJ1CMuWJ0xOrb8J7tQ_m2L2w&s
Steel Spoon,Kitchen - Spoon,??25,Stainless Steel,https://bhalaria.in/cdn/shop/files/SMOOTH-DESIGN-DINNER-SPOON-_6-Pcs-Set_-1000-X1000.jpg?v=1696566463
Bamboo Spoon,Kitchen - Spoon,??30,Bamboo,https://rukminim2.flixcart.com/image/850/1000/ka8jdzk0/kitchen-tool-set/9/z/p/ct-295-classy-touch-original-imafrugndjzzphgm.jpeg?q=20&crop=false
Melamine Spoon,Kitchen - Spoon,??15,Melamine,https://5.imimg.com/data5/EA/IV/YP/SELLER-4592822/printed-melamine-spoon.jpeg
Silicone Spoon,Kitchen - Spoon,??40,Silicone,"https://media-uk.landmarkshops.in/cdn-cgi/image/h=550,w=550,q=85,fit=cover/homecentre/1000012466769-1000012466768_02-2100.jpg"
Brass Spoon,Kitchen - Spoon,??50,Brass,https://m.media-amazon.com/images/I/6111pmKcXfL.jpg
Copper Spoon,Kitchen - Spoon,??45,Copper,https://m.media-amazon.com/images/I/511NC3Ke-dL.jpg
Biodegradable Spoon,Kitchen - Spoon,??10,PLA,https://m.media-amazon.com/images/I/41a+kmnhwFL._SX342_SY445_.jpg
Glass Spoon,Kitchen - Spoon,??35,Glass,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDnVHhQPsTxvpgo9JIPMyV0T4NzZ4efSMt6w&s
Steel Kadhai,Kitchen - Utensil,??850,Stainless Steel,https://www.vinodsteel.com/cdn/shop/files/1_53e79b14-9930-44a0-beea-a80e288942af.png?v=1706882562
Non-stick Pan,Kitchen - Utensil,??950,Aluminum with Teflon,https://m.media-amazon.com/images/I/71xOErYhWwL.jpg
